Time,Beta AA,Beta AE,Beta AY,Beta EA,Beta EE,Beta EY,Beta YA,Beta YE,Beta YY,CE AA,CE AE,CE AY,CE EA,CE EE,CE EY,CE YA,CE YE,CE YY,DA,DE,DY,Infected A,Infected E,Infected Y,IR A,IR E,IR Y,Lambda A,Lambda E,Lambda Y,Pop A,Pop E,Pop Y,Prop A Infected,Prop E Infected,Prop Y Infected,Recovered A,Recovered E,Recovered Y,RR A,RR E,RR Y,Susceptible A,Susceptible E,Susceptible Y,Total Population
17.5,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,95,30.66,21.27,1.153,0.07033,8.60E-07,0.00441,0.00526,0.01138,"50,000","25,000","25,000",99.29,99.82,99.91,"49,640","24,960","24,980",47.5,15.33,10.63,261.3,13.36,7.60E-05,"100,000"
17.625,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,89.21,28.75,19.94,1.082,0.06597,8.10E-07,0.00414,0.00494,0.01068,"50,000","25,000","25,000",99.3,99.83,99.92,"49,650","24,960","24,980",44.61,14.37,9.968,261.1,13.35,7.60E-05,"100,000"
17.75,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,83.77,26.96,18.69,1.015,0.06188,7.60E-07,0.00389,0.00463,0.01002,"50,000","25,000","25,000",99.31,99.84,99.93,"49,660","24,960","24,980",41.89,13.48,9.345,261,13.34,7.60E-05,"100,000"
17.875,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,78.66,25.28,17.52,0.9528,0.05805,7.10E-07,0.00365,0.00435,0.0094,"50,000","25,000","25,000",99.32,99.85,99.93,"49,660","24,960","24,980",39.33,12.64,8.761,260.9,13.34,7.60E-05,"100,000"
18,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,73.86,23.71,16.43,0.8941,0.05446,6.70E-07,0.00342,0.00408,0.00882,"50,000","25,000","25,000",99.33,99.85,99.93,"49,670","24,960","24,980",36.93,11.86,8.214,260.8,13.33,7.60E-05,"100,000"
18.125,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,69.36,22.24,15.4,0.8391,0.05109,6.30E-07,0.00321,0.00383,0.00828,"50,000","25,000","25,000",99.34,99.86,99.94,"49,670","24,960","24,980",34.68,11.12,7.7,260.7,13.32,7.50E-05,"100,000"
18.25,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,65.13,20.85,14.44,0.7874,0.04793,5.90E-07,0.00302,0.0036,0.00777,"50,000","25,000","25,000",99.35,99.86,99.94,"49,670","24,970","24,990",32.56,10.43,7.219,260.6,13.32,7.50E-05,"100,000"
18.375,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,61.16,19.55,13.54,0.739,0.04497,5.50E-07,0.00283,0.00337,0.00729,"50,000","25,000","25,000",99.36,99.87,99.95,"49,680","24,970","24,990",30.58,9.777,6.768,260.5,13.31,7.50E-05,"100,000"
18.5,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,57.43,18.34,12.69,0.6936,0.04219,5.20E-07,0.00266,0.00317,0.00685,"50,000","25,000","25,000",99.36,99.87,99.95,"49,680","24,970","24,990",28.71,9.169,6.345,260.4,13.3,7.50E-05,"100,000"
18.625,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,53.93,17.2,11.9,0.6509,0.03959,4.80E-07,0.0025,0.00297,0.00642,"50,000","25,000","25,000",99.37,99.88,99.95,"49,690","24,970","24,990",26.96,8.599,5.948,260.3,13.3,7.50E-05,"100,000"
18.75,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,50.64,16.13,11.15,0.6109,0.03714,4.50E-07,0.00234,0.00279,0.00603,"50,000","25,000","25,000",99.38,99.88,99.96,"49,690","24,970","24,990",25.32,8.064,5.577,260.2,13.29,7.50E-05,"100,000"
18.875,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,47.55,15.12,10.46,0.5734,0.03485,4.30E-07,0.0022,0.00262,0.00566,"50,000","25,000","25,000",99.38,99.89,99.96,"49,690","24,970","24,990",23.77,7.562,5.228,260.1,13.29,7.50E-05,"100,000"
19,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,44.65,14.18,9.803,0.5382,0.0327,4.00E-07,0.00207,0.00246,0.00531,"50,000","25,000","25,000",99.39,99.89,99.96,"49,700","24,970","24,990",22.32,7.092,4.901,260,13.28,7.50E-05,"100,000"
19.125,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,41.92,13.3,9.19,0.5051,0.03069,3.70E-07,0.00194,0.00231,0.00498,"50,000","25,000","25,000",99.4,99.89,99.96,"49,700","24,970","24,990",20.96,6.65,4.595,260,13.28,7.50E-05,"100,000"
19.25,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,39.37,12.47,8.615,0.4741,0.02879,3.50E-07,0.00182,0.00216,0.00468,"50,000","25,000","25,000",99.4,99.9,99.97,"49,700","24,970","24,990",19.68,6.237,4.308,259.9,13.28,7.50E-05,"100,000"
19.375,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,36.97,11.7,8.077,0.445,0.02702,3.30E-07,0.00171,0.00203,0.00439,"50,000","25,000","25,000",99.41,99.9,99.97,"49,700","24,980","24,990",18.48,5.849,4.039,259.9,13.27,7.50E-05,"100,000"
19.5,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,34.71,10.97,7.572,0.4177,0.02536,3.10E-07,0.0016,0.00191,0.00412,"50,000","25,000","25,000",99.41,99.9,99.97,"49,710","24,980","24,990",17.36,5.485,3.786,259.8,13.27,7.50E-05,"100,000"
19.625,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,32.59,10.29,7.099,0.3921,0.02379,2.90E-07,0.00151,0.00179,0.00387,"50,000","25,000","25,000",99.42,99.91,99.97,"49,710","24,980","24,990",16.3,5.144,3.549,259.7,13.27,7.50E-05,"100,000"
19.75,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,30.61,9.647,6.655,0.368,0.02233,2.70E-07,0.00141,0.00168,0.00363,"50,000","25,000","25,000",99.42,99.91,99.97,"49,710","24,980","24,990",15.3,4.824,3.328,259.7,13.26,7.50E-05,"100,000"
19.875,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,28.74,9.047,6.239,0.3455,0.02095,2.50E-07,0.00133,0.00158,0.00341,"50,000","25,000","25,000",99.42,99.91,99.98,"49,710","24,980","24,990",14.37,4.523,3.12,259.7,13.26,7.50E-05,"100,000"
20,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,26.99,8.484,5.849,0.3243,0.01966,2.40E-07,0.00124,0.00148,0.0032,"50,000","25,000","25,000",99.43,99.91,99.98,"49,710","24,980","24,990",13.49,4.242,2.925,259.6,13.26,7.50E-05,"100,000"
