Time,Beta AA,Beta AE,Beta AY,Beta EA,Beta EE,Beta EY,Beta YA,Beta YE,Beta YY,CE AA,CE AE,CE AY,CE EA,CE EE,CE EY,CE YA,CE YE,CE YY,DA,DE,DY,Infected A,Infected E,Infected Y,IR A,IR E,IR Y,Lambda A,Lambda E,Lambda Y,Pop A,Pop E,Pop Y,Prop A Infected,Prop E Infected,Prop Y Infected,Recovered A,Recovered E,Recovered Y,RR A,RR E,RR Y,Susceptible A,Susceptible E,Susceptible Y,Total Population
12.875,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,972.7,330.1,231.6,12.94,0.8097,1.10E-05,0.04551,0.05477,0.1188,"50,000","25,000","25,000",97.49,98.62,99.07,"48,740","24,660","24,770",486.3,165,115.8,284.3,14.78,9.50E-05,"100,000"
13,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,913.5,309.5,217.1,12.08,0.7549,1.00E-05,0.04273,0.05142,0.1115,"50,000","25,000","25,000",97.61,98.7,99.13,"48,800","24,680","24,780",456.8,154.8,108.6,282.6,14.68,9.30E-05,"100,000"
13.125,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,857.9,290.3,203.6,11.28,0.704,9.60E-06,0.04012,0.04827,0.1047,"50,000","25,000","25,000",97.72,98.78,99.19,"48,860","24,700","24,800",429,145.1,101.8,281.1,14.59,9.20E-05,"100,000"
13.25,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,805.7,272.2,190.8,10.54,0.6569,8.90E-06,0.03767,0.04531,0.09825,"50,000","25,000","25,000",97.83,98.85,99.24,"48,910","24,710","24,810",402.9,136.1,95.42,279.7,14.5,9.10E-05,"100,000"
13.375,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,756.7,255.3,178.9,9.848,0.6131,8.30E-06,0.03537,0.04253,0.09222,"50,000","25,000","25,000",97.93,98.92,99.28,"48,960","24,730","24,820",378.3,127.6,89.45,278.4,14.42,9.00E-05,"100,000"
13.5,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,710.6,239.4,167.7,9.206,0.5725,7.70E-06,0.03321,0.03992,0.08655,"50,000","25,000","25,000",98.02,98.99,99.33,"49,010","24,750","24,830",355.3,119.7,83.86,277.2,14.34,8.90E-05,"100,000"
13.625,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,667.4,224.5,157.2,8.607,0.5347,7.10E-06,0.03118,0.03747,0.08124,"50,000","25,000","25,000",98.11,99.04,99.37,"49,060","24,760","24,840",333.7,112.3,78.62,276,14.27,8.80E-05,"100,000"
13.75,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,626.7,210.6,147.4,8.05,0.4996,6.60E-06,0.02928,0.03518,0.07625,"50,000","25,000","25,000",98.2,99.1,99.41,"49,100","24,780","24,850",313.4,105.3,73.71,274.9,14.2,8.70E-05,"100,000"
13.875,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,588.6,197.5,138.2,7.531,0.4669,6.10E-06,0.02749,0.03302,0.07157,"50,000","25,000","25,000",98.28,99.15,99.45,"49,140","24,790","24,860",294.3,98.73,69.1,273.9,14.14,8.60E-05,"100,000"
14,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,552.7,185.2,129.6,7.047,0.4364,5.70E-06,0.02581,0.03099,0.06717,"50,000","25,000","25,000",98.35,99.2,99.48,"49,170","24,800","24,870",276.4,92.59,64.78,273,14.08,8.50E-05,"100,000"
14.125,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,519.1,173.7,121.5,6.595,0.4081,5.30E-06,0.02424,0.02909,0.06305,"50,000","25,000","25,000",98.42,99.25,99.51,"49,210","24,810","24,880",259.5,86.83,60.73,272.1,14.03,8.40E-05,"100,000"
14.25,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,487.4,162.9,113.9,6.173,0.3817,5.00E-06,0.02275,0.02731,0.05917,"50,000","25,000","25,000",98.48,99.29,99.54,"49,240","24,820","24,890",243.7,81.43,56.94,271.3,13.98,8.40E-05,"100,000"
14.375,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,457.7,152.7,106.8,5.779,0.357,4.60E-06,0.02136,0.02563,0.05554,"50,000","25,000","25,000",98.54,99.33,99.57,"49,270","24,830","24,890",228.9,76.36,53.38,270.5,13.93,8.30E-05,"100,000"
14.5,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,429.9,143.2,100.1,5.412,0.3341,4.30E-06,0.02006,0.02406,0.05213,"50,000","25,000","25,000",98.6,99.37,99.6,"49,300","24,840","24,900",214.9,71.61,50.04,269.8,13.88,8.30E-05,"100,000"
14.625,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,403.7,134.3,93.83,5.068,0.3126,4.00E-06,0.01883,0.02259,0.04893,"50,000","25,000","25,000",98.65,99.41,99.62,"49,330","24,850","24,910",201.8,67.16,46.92,269.1,13.84,8.20E-05,"100,000"
14.75,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,379.1,126,87.97,4.747,0.2926,3.70E-06,0.01768,0.0212,0.04592,"50,000","25,000","25,000",98.7,99.44,99.65,"49,350","24,860","24,910",189.5,62.98,43.98,268.5,13.8,8.10E-05,"100,000"
14.875,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,356,118.1,82.47,4.447,0.2739,3.50E-06,0.0166,0.0199,0.0431,"50,000","25,000","25,000",98.75,99.47,99.67,"49,380","24,870","24,920",178,59.06,41.23,267.9,13.77,8.10E-05,"100,000"
15,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,334.3,110.8,77.31,4.167,0.2565,3.30E-06,0.01559,0.01868,0.04045,"50,000","25,000","25,000",98.8,99.5,99.69,"49,400","24,880","24,920",167.1,55.39,38.66,267.3,13.73,8.10E-05,"100,000"
15.125,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,313.9,103.9,72.48,3.905,0.2402,3.00E-06,0.01463,0.01753,0.03797,"50,000","25,000","25,000",98.84,99.53,99.71,"49,420","24,880","24,930",157,51.94,36.24,266.8,13.7,8.00E-05,"100,000"
15.25,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,294.8,97.42,67.95,3.659,0.225,2.80E-06,0.01374,0.01646,0.03563,"50,000","25,000","25,000",98.88,99.56,99.73,"49,440","24,890","24,930",147.4,48.71,33.98,266.3,13.67,8.00E-05,"100,000"
15.375,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,276.8,91.36,63.7,3.43,0.2107,2.70E-06,0.0129,0.01545,0.03344,"50,000","25,000","25,000",98.91,99.58,99.75,"49,460","24,900","24,940",138.4,45.68,31.85,265.9,13.64,7.90E-05,"100,000"
